215.34,142.73,20.731
172.92,122.04,-19.082
97.235,150.59,103.62
39.545,171.63,4.5435
85.09,-26.363,21.523
29.5,60.5,1.5811
215.34,142.73,20.731
216.19,143.6,20.063
216.83,144.69,19.395
217.82,145.42,18.728
218.77,146.18,18.06
219.68,147,17.393
107.48,131.71,35.526
108.6,145.75,31.198
107.87,151.26,15.742
108.29,165.81,6.5363
106.9,174.22,-0.49479
103.42,184.42,5.5928
215.34,142.73,20.731
216.3,141.68,19.69
217.31,140.67,18.674
218.33,139.69,17.699
219.32,138.67,16.678
220.33,137.67,15.671
219.68,147,17.393
221.29,149.18,15.24
221.39,152.93,14.002
225.14,153.2,11.176
226.82,155.46,9.1161
229.5,156.5,6.5192
103.42,184.42,5.5928
98.299,185.56,4.2599
95.902,186.2,0.57564
87.217,180.15,8.27
84.575,186.57,-0.29655
83.5,190.5,1.5811
220.33,137.67,15.671
222.47,137.13,13.703
224.6,136.6,11.735
226.73,136.07,9.7668
228.87,135.53,7.7989
231,135,5.831
103.42,184.42,5.5928
105.19,185.53,4.1487
105.67,189.61,1.7795
110.9,184.7,3.1269
110.15,189.85,1.444
112.21,190.64,1.8208
219.68,147,17.393
223.15,146.83,14.176
226.61,147.47,12.545
229.95,146.61,6.974
233.89,146.44,6.6095
236.5,149,4.0311
220.33,137.67,15.671
221.6,135.91,13.848
223.21,134.39,11.75
224.58,132.74,10.346
225.93,131,7.8592
227.5,129.5,6.5192
