160.1,183.62,30.378
213.07,152.18,8.6757
255.66,-113.89,15.213
-48.336,452.71,0.25549
71.006,30.169,37.788
127.94,74.758,26.042
118.2,142.43,13.856
127.92,150.12,12.458
116.61,142.26,11.476
127.77,151.01,10.05
123.51,148.36,8.9281
125.5,150.33,7.683
129.61,135.26,13.399
132.14,142.14,12.796
131.23,135.7,10.225
133.99,143.49,9.7565
134.23,141.51,7.8454
135.5,143.5,6.5192
140.53,128.38,13.154
133.97,132.15,12.309
140.02,123.33,9.2228
132.6,127.95,8.5307
134.43,123.36,6.1963
132.5,122.5,4.5277
104.71,150.33,14.707
120.44,159.85,12.477
101.11,149.3,12.772
119.23,160.18,10.369
111.66,156.36,9.817
114.5,158.5,8.5147
147.72,124.03,13.094
136.82,126.9,12.941
148.98,119.65,9.3216
136.5,123.2,9.4058
140.93,119.35,6.9492
138.5,118.5,5.5227
102.37,151.58,14.897
116.53,159.39,11.778
95.732,147.27,14.169
112.26,156.44,10.675
103.19,151.01,11.218
104.5,151.5,10.124
154.51,120.17,13.115
144.08,125.11,12.046
161.72,121.71,9.3262
149.39,127.22,8.3694
157.61,126.62,6.2034
157.5,128.5,4.5277
94.024,155.5,15.71
112.61,173.54,10.81
89.158,151.12,14.858
110.61,171.91,9.349
101.26,163.07,10.395
104.39,166.24,8.7837
84.857,158.26,16.948
95.883,182.73,18.443
84.257,154.09,10.923
96.826,182.18,13.033
92.799,171.35,8.5366
95.5,176.3,6.7186
170,113.14,13.525
152.32,100.82,10.272
173.29,114.44,10.72
152.97,100.36,7.2145
160.98,105.28,6.4207
157.5,102.5,4.5277
172.41,112.42,13.651
156.05,96.457,10.26
176.29,114.73,11.026
157.44,96.43,7.3511
165.41,103.22,6.7226
162.5,99.833,4.8591
71.78,150.96,20.876
64.084,135.42,13.087
72.147,157.68,21.249
63.378,139.56,12.374
66.154,149.15,15.186
64.25,147.5,13.259
160.1,183.62,30.378
142.44,190.35,25.344
124.93,194.86,15.682
105.53,199.85,16.817
90.046,210.07,4.6256
71.5,212.5,1.5811
75.848,124.11,24.981
72.672,104.52,26.444
84.024,140.1,13.768
79.858,116.75,16.194
86.337,133.82,8.2611
88.5,134.5,4.5277
