78.618,165.33,58.396
94.023,145.86,64.147
89.686,119.99,55.734
59.961,105.92,25.539
72.378,78.77,39.873
67.46,57.33,47.741
78.618,165.33,58.396
79.889,193.87,51.408
89.588,225.98,7.1889
133.01,243.68,44.031
157.54,224.01,18.893
187.69,227.72,7.1025
67.46,57.33,47.741
78.332,45.382,43.689
92.626,29.009,42.618
111.59,30.068,26.199
128.71,36.036,11.709
146,34,3.6056
85.951,148.15,59.185
112.91,149.45,39.46
138.71,162.3,10.051
162.21,138.52,4.7433
189.68,142.35,20.089
210.3,125.7,9.7046
67.46,57.33,47.741
55.419,55.475,38.342
43.329,48.825,32.312
30.428,60.332,16.415
18.704,49.398,15.903
6.3,52.38,6.3114
78.618,165.33,58.396
63.548,165.95,47.715
53.779,174.21,32.201
32.415,166.75,29.395
24.41,183.82,17.491
20.25,196.62,5.4271
85.385,135.94,55.64
99.494,127.68,47.763
105.35,124.16,33.153
118.89,114.74,25.524
130.01,111.25,15.297
142.5,113.5,9.1924
83.992,192.14,45.053
77.027,196.94,44.73
80.188,199.65,34.921
72.186,204.39,35.146
72.026,207.85,28.537
69.25,212.19,24.813
82.864,42.682,42.48
82.209,41.338,41.722
82.545,40.264,39.85
81.797,38.907,39.169
81.802,37.742,37.671
81.5,36.5,36.503
